Asset	DateMin	DateMax	TotalDays	DateDiffDays
FW40H24   	2023-06-26	2024-03-15	117	263
FW40U22   	2021-12-20	2022-09-16	135	270
FW40U23   	2022-12-22	2023-09-15	147	267
FW40Z21   	2021-03-30	2021-12-17	123	262
FW40Z22   	2022-03-21	2022-12-16	161	270
FW40Z23   	2023-03-21	2023-12-15	137	269
FW40Z24   	2024-03-19	2024-06-13	13	86
FXTBH22   	2021-06-22	2022-03-18	121	269
FXTBH23   	2022-06-24	2023-03-17	83	266
FXTBZ22   	2022-03-21	2022-12-16	80	270
FXTBZ23   	2023-04-24	2023-12-15	95	235
FXTBZ24   	2024-05-22	2024-06-17	2	26
OW20A221800	2021-12-17	2022-01-05	4	19
OW20A221975	2021-12-28	2022-01-13	3	16
OW20A222025	2021-12-27	2022-01-10	5	14
OW20A222125	2022-01-11	2022-01-11	1	0
OW20A222225	2021-12-20	2022-01-21	6	32
OW20A222250	2021-10-18	2022-01-21	24	95
OW20A222325	2021-12-20	2022-01-21	21	32
OW20A222350	2021-11-03	2022-01-21	35	79
OW20A222425	2022-01-03	2022-01-21	12	18
OW20A222450	2021-11-05	2022-01-21	31	77
OW20A222550	2021-10-22	2022-01-13	11	83
OW20A222650	2021-10-26	2022-01-20	4	86
OW20A231000	2022-12-23	2022-12-23	1	0
OW20A231500	2022-10-24	2022-12-14	3	51
OW20A231600	2022-10-24	2023-01-04	7	72
OW20A231675	2022-12-23	2023-01-10	2	18
OW20A231700	2022-10-24	2023-01-19	17	87
OW20A231775	2022-12-21	2022-12-23	2	2
OW20A231825	2022-12-19	2023-01-20	18	32
OW20A231850	2022-11-08	2023-01-20	37	73
OW20A231925	2022-12-20	2023-01-20	18	31
OW20A231950	2022-11-24	2023-01-20	33	57
OW20A232025	2022-12-23	2023-01-17	7	25
OW20A232050	2022-11-15	2023-01-17	8	63
OW20A242000	2024-01-09	2024-01-09	1	0
OW20A242100	2024-01-03	2024-01-18	2	15
OW20A242175	2024-01-16	2024-01-19	4	3
OW20A242200	2023-12-15	2024-01-19	11	35
OW20A242275	2024-01-02	2024-01-17	12	15
OW20A242300	2023-10-23	2024-01-19	40	88
OW20A242375	2023-12-18	2024-01-19	14	32
OW20A242425	2023-12-18	2024-01-18	17	31
OW20A242475	2023-12-18	2024-01-17	10	30
OW20A242500	2023-10-31	2024-01-19	29	80
OW20A242550	2023-12-01	2024-01-18	7	48
OW20A242575	2023-12-20	2023-12-20	1	0
OW20A242600	2023-12-05	2023-12-27	5	22
OW20B221750	2021-12-28	2022-01-24	2	27
OW20B221800	2021-12-20	2022-01-24	5	35
OW20B221900	2021-12-03	2022-01-25	6	53
OW20B222100	2021-11-24	2022-02-18	12	86
OW20B222125	2022-02-14	2022-02-18	2	4
OW20B222175	2022-01-24	2022-02-18	10	25
OW20B222200	2021-12-02	2022-02-18	23	78
OW20B222275	2022-01-24	2022-02-18	20	25
OW20B222300	2021-11-23	2022-02-18	35	87
OW20B222375	2022-01-24	2022-02-14	9	21
OW20B222400	2021-11-22	2022-02-18	33	88
OW20B222500	2021-11-30	2022-02-16	16	78
OW20B222600	2021-11-26	2022-02-11	12	77
OW20B231750	2022-12-07	2022-12-13	2	6
OW20B231800	2022-12-05	2023-02-17	16	74
OW20B231825	2023-02-10	2023-02-17	6	7
OW20B231875	2023-01-25	2023-02-17	16	23
OW20B231900	2022-12-14	2023-02-17	37	65
OW20B231950	2022-11-24	2023-02-17	42	85
OW20B231975	2023-01-23	2023-02-17	15	25
OW20B232000	2022-11-22	2023-02-17	39	87
OW20B232075	2023-01-23	2023-02-02	2	10
OW20B232100	2022-11-23	2023-02-06	14	75
OW20B232175	2023-02-01	2023-02-02	2	1
OW20B232200	2023-01-03	2023-02-02	4	30
OW20B242000	2024-01-31	2024-02-16	3	16
OW20B242150	2024-01-16	2024-02-05	5	20
OW20B242175	2024-01-23	2024-01-29	2	6
